"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5661231","Metallothioneins bind metals","3/55","11/11214",0.272727272727273,55.6066115702479,12.7204952553591,1.79163802224963e-05,0.00392368726872669,0.00362099473970452,"MT1E/MT1F/MT1G",3
"R-HSA-5660526","Response to metal ions","3/55","14/11214",0.214285714285714,43.6909090909091,11.2207019512251,3.91141668118555e-05,0.00428300126589818,0.00395258948835593,"MT1E/MT1F/MT1G",3
"R-HSA-392154","Nitric oxide stimulates guanylate cyclase","3/55","22/11214",0.136363636363636,27.803305785124,8.83436762737703,0.000160943972691705,0.0117489100064944,0.010842541318178,"PRKG2/GUCY1A1/GUCY1B1",3
